Date,Crop_Type,Region,Production_Volume_Tonnes,Price_Per_Tonne_USD,Temperature_Celsius,Rainfall_mm
2010-03-01 07:27:55.775155031,Maize,Eldoret,972,116.16,34.1,199.9
2010-03-02 08:00:28.805761152,Wheat,Eldoret,219,68.43,34.1,130.1
2010-03-03 08:33:01.836367273,Tea,Eldoret,385,128.39,34.7,164.9
2010-03-04 09:05:34.866973394,Coffee,Kisii,346,128.24,24.7,94.1
2010-03-05 09:38:07.897579516,Sorghum,Kisii,249,137.11,32.5,155.1
2010-03-06 10:10:40.928185637,Sugarcane,Embu,309,99.26,31.3,97.6
2010-03-07 10:43:13.958791758,Sorghum,Eldoret,189,140.31,28.1,48.2
2010-03-08 11:15:46.989397879,Coffee,Muranga,447,126.67,23.1,32.3
2010-03-09 11:48:20.020004000,Beans,Meru,787,124.85,27.3,69.4
2010-03-10 12:20:53.050610122,Sorghum,Nairobi,878,101.45,26.2,184.6
2010-03-11 12:53:26.081216243,Wheat,Nakuru,583,144.56,22.3,140.8
2010-03-12 13:25:59.111822364,Tea,Nairobi,689,98.31,33.9,2.0
2010-03-13 13:58:32.142428485,Sugarcane,Embu,858,73.99,31.7,56.4
2010-03-14 14:31:05.173034607,Sorghum,Nairobi,482,103.17,22.4,61.4
2010-03-15 15:03:38.203640728,Sorghum,Muranga,775,112.34,27.3,105.0
2010-03-16 15:36:11.234246849,Coffee,Kisii,514,67.08,22.3,99.6
2010-03-17 16:08:44.264852970,Tea,Nairobi,588,100.59,17.3,124.6
2010-03-18 16:41:17.295459091,Beans,Embu,169,113.71,27.5,112.5
2010-03-19 17:13:50.326065213,Rice,Embu,591,91.05,26.3,7.5
2010-03-20 17:46:23.356671334,Wheat,Meru,934,55.93,19.4,98.4
2010-03-21 18:18:56.387277455,Wheat,Eldoret,799,57.3,16.6,61.3
2010-03-22 18:51:29.417883576,Rice,Kisii,934,99.77,16.2,186.0
2010-03-23 19:24:02.448489698,Sugarcane,Kisii,983,85.94,26.7,78.4
2010-03-24 19:56:35.479095819,Maize,Nakuru,368,142.74,34.8,6.7
2010-03-25 20:29:08.509701940,Sugarcane,Mombasa,568,119.46,27.3,24.0
2010-03-26 21:01:41.540308061,Sugarcane,Eldoret,701,131.9,31.3,154.8
2010-03-27 21:34:14.570914182,Maize,Eldoret,673,52.93,34.8,30.7
2010-03-28 22:06:47.601520304,Coffee,Eldoret,755,138.85,24.1,35.2
2010-03-29 22:39:20.632126425,Wheat,Embu,236,116.38,32.2,132.1
2010-03-30 23:11:53.662732546,Tea,Eldoret,859,76.02,24.6,193.5
2010-03-31 23:44:26.693338667,Tea,Eldoret,196,103.13,24.3,190.1
2010-04-02 00:16:59.723944788,Tea,Embu,599,105.14,29.9,66.7
2010-04-03 00:49:32.754550910,Coffee,Embu,376,139.75,27.9,4.7
2010-04-04 01:22:05.785157031,Wheat,Eldoret,583,102.84,19.5,80.2
2010-04-05 01:54:38.815763152,Maize,Mombasa,289,83.83,33.3,19.3
2010-04-06 02:27:11.846369273,Tea,Nairobi,451,74.48,26.6,15.0
2010-04-07 02:59:44.876975395,Wheat,Kisii,115,132.86,15.9,193.1
2010-04-08 03:32:17.907581516,Sugarcane,Nairobi,754,66.05,28.6,127.4
2010-04-09 04:04:50.938187637,Rice,Nairobi,706,74.1,15.1,100.0
2010-04-10 04:37:23.968793758,Maize,Kisii,559,66.25,27.6,111.7
2010-04-11 05:09:56.999399879,Sugarcane,Nairobi,511,98.28,32.8,115.3
2010-04-12 05:42:30.030006001,Sorghum,Embu,752,114.68,32.0,26.5
2010-04-13 06:15:03.060612122,Wheat,Kisii,847,148.57,27.2,102.9
2010-04-14 06:47:36.091218243,Beans,Kisii,954,93.12,31.7,181.7
2010-04-15 07:20:09.121824364,Tea,Embu,716,66.75,28.3,14.5
2010-04-16 07:52:42.152430486,Beans,Mombasa,853,129.73,34.9,76.6
2010-04-17 08:25:15.183036606,Coffee,Eldoret,668,72.48,22.0,171.3
2010-04-18 08:57:48.213642728,Sugarcane,Eldoret,590,119.14,24.6,184.6
2010-04-19 09:30:21.244248850,Tea,Eldoret,278,114.69,32.5,104.2
2010-04-20 10:02:54.274854970,Beans,Nakuru,594,122.81,29.0,65.1
2010-04-21 10:35:27.305461092,Sugarcane,Mombasa,139,122.49,18.8,33.6
2010-04-22 11:08:00.336067212,Sorghum,Embu,694,100.85,25.1,117.0
2010-04-23 11:40:33.366673334,Tea,Nakuru,420,83.2,26.7,30.6
2010-04-24 12:13:06.397279456,Sorghum,Nakuru,318,63.08,21.7,169.6
2010-04-25 12:45:39.427885576,Sorghum,Eldoret,574,81.2,34.2,185.7
2010-04-26 13:18:12.458491698,Sugarcane,Embu,405,108.78,33.8,120.3
2010-04-27 13:50:45.489097818,Sorghum,Eldoret,985,117.23,34.0,49.7
2010-04-28 14:23:18.519703940,Sugarcane,Kisii,291,139.27,25.1,154.5
2010-04-29 14:55:51.550310062,Sugarcane,Eldoret,133,119.56,30.3,41.0
2010-04-30 15:28:24.580916182,Maize,Kisii,226,139.73,21.5,59.0
2010-05-01 16:00:57.611522304,Sorghum,Meru,998,139.35,32.6,189.2
2010-05-02 16:33:30.642128426,Rice,Mombasa,278,62.02,15.6,54.8
2010-05-03 17:06:03.672734546,Tea,Mombasa,150,61.77,20.9,182.2
2010-05-04 17:38:36.703340668,Maize,Nairobi,453,77.69,27.7,80.4
2010-05-05 18:11:09.733946788,Maize,Nairobi,307,59.84,31.4,162.1
2010-05-06 18:43:42.764552910,Maize,Muranga,891,95.51,29.2,80.5
2010-05-07 19:16:15.795159032,Beans,Eldoret,725,93.71,16.9,176.8
2010-05-08 19:48:48.825765152,Rice,Nairobi,208,142.06,24.7,97.5
2010-05-09 20:21:21.856371274,Coffee,Meru,201,61.95,33.8,93.3
2010-05-10 20:53:54.886977394,Sugarcane,Meru,725,99.79,32.9,133.8
2010-05-11 21:26:27.917583516,Maize,Embu,635,139.06,16.5,7.9
2010-05-12 21:59:00.948189638,Beans,Muranga,327,79.32,22.1,59.7
2010-05-13 22:31:33.978795758,Coffee,Meru,217,118.26,31.1,105.3
2010-05-14 23:04:07.009401880,Tea,Nairobi,455,68.19,18.5,135.6
2010-05-15 23:36:40.040008000,Sorghum,Muranga,836,72.71,33.2,70.0
2010-05-17 00:09:13.070614122,Maize,Meru,275,115.78,18.5,173.3
2010-05-18 00:41:46.101220244,Wheat,Muranga,460,104.06,29.0,134.2
2010-05-19 01:14:19.131826364,Coffee,Embu,851,125.0,22.3,177.0
2010-05-20 01:46:52.162432486,Rice,Embu,844,51.82,16.1,87.1
2010-05-21 02:19:25.193038606,Rice,Kisii,197,123.26,30.0,29.5
2010-05-22 02:51:58.223644728,Beans,Mombasa,482,66.83,15.6,126.2
2010-05-23 03:24:31.254250850,Coffee,Muranga,132,124.26,17.8,155.4
2010-05-24 03:57:04.284856970,Beans,Mombasa,188,122.42,21.4,92.7
2010-05-25 04:29:37.315463092,Rice,Kisii,700,82.68,16.0,77.9
2010-05-26 05:02:10.346069214,Coffee,Eldoret,660,65.97,18.7,80.3
2010-05-27 05:34:43.376675334,Sugarcane,Nakuru,240,131.92,28.5,35.1
2010-05-28 06:07:16.407281456,Rice,Muranga,868,106.12,28.5,95.9
2010-05-29 06:39:49.437887576,Coffee,Muranga,810,98.02,28.7,29.9
2010-05-30 07:12:22.468493698,Beans,Nairobi,285,72.91,21.3,35.0
2010-05-31 07:44:55.499099820,Sugarcane,Embu,758,135.83,28.2,148.3
2010-06-01 08:17:28.529705940,Tea,Nairobi,439,54.64,26.9,74.8
2010-06-02 08:50:01.560312062,Beans,Meru,499,149.24,15.3,3.0
2010-06-03 09:22:34.590918182,Sorghum,Nakuru,394,104.98,32.0,164.6
2010-06-04 09:55:07.621524304,Beans,Nairobi,103,77.5,20.7,135.3
2010-06-05 10:27:40.652130426,Rice,Nairobi,897,64.06,30.2,80.3
2010-06-06 11:00:13.682736546,Wheat,Kisii,179,91.97,30.4,124.1
2010-06-07 11:32:46.713342668,Rice,Nakuru,831,90.83,28.1,138.3
2010-06-08 12:05:19.743948788,Coffee,Muranga,757,87.35,32.2,133.5
2010-06-09 12:37:52.774554910,Sugarcane,Eldoret,138,62.3,30.6,15.0
2010-06-10 13:10:25.805161032,Sugarcane,Meru,635,52.51,33.4,0.9
2010-06-11 13:42:58.835767152,Sorghum,Nairobi,468,74.46,15.7,43.0
2010-06-12 14:15:31.866373274,Sorghum,Nakuru,806,83.84,28.9,156.8
2010-06-13 14:48:04.896979396,Rice,Nakuru,691,120.97,16.7,53.3
2010-06-14 15:20:37.927585516,Sugarcane,Eldoret,390,131.62,34.3,23.6
2010-06-15 15:53:10.958191638,Sorghum,Kisii,491,53.59,15.9,124.3
2010-06-16 16:25:43.988797758,Coffee,Mombasa,834,79.25,29.5,51.0
2010-06-17 16:58:17.019403880,Tea,Embu,234,112.5,28.7,173.9
2010-06-18 17:30:50.050010002,Coffee,Kisii,221,65.87,19.1,90.7
2010-06-19 18:03:23.080616122,Tea,Mombasa,194,91.26,29.2,116.7
2010-06-20 18:35:56.111222244,Sugarcane,Kisii,320,87.17,30.1,109.5
2010-06-21 19:08:29.141828364,Wheat,Embu,485,94.11,32.0,62.2
2010-06-22 19:41:02.172434486,Maize,Kisii,811,95.95,32.0,6.7
2010-06-23 20:13:35.203040608,Rice,Nairobi,338,113.14,21.4,20.8
2010-06-24 20:46:08.233646728,Sorghum,Nairobi,108,109.44,17.9,92.3
2010-06-25 21:18:41.264252850,Wheat,Mombasa,569,60.43,16.4,60.5
2010-06-26 21:51:14.294858970,Tea,Eldoret,711,109.81,21.9,115.3
2010-06-27 22:23:47.325465092,Coffee,Mombasa,396,142.77,18.2,53.6
2010-06-28 22:56:20.356071214,Coffee,Meru,730,104.9,34.2,79.0
2010-06-29 23:28:53.386677334,Sugarcane,Eldoret,981,127.19,34.0,0.7
2010-07-01 00:01:26.417283456,Maize,Kisii,950,145.32,26.7,79.3
2010-07-02 00:33:59.447889576,Wheat,Mombasa,365,134.95,24.0,19.5
2010-07-03 01:06:32.478495698,Beans,Kisii,982,130.88,28.5,129.7
2010-07-04 01:39:05.509101820,Wheat,Eldoret,800,136.78,19.2,95.4
2010-07-05 02:11:38.539707940,Maize,Embu,433,72.38,34.6,77.4
2010-07-06 02:44:11.570314062,Wheat,Nakuru,798,120.75,22.9,116.7
2010-07-07 03:16:44.600920184,Maize,Meru,356,138.8,20.9,184.7
2010-07-08 03:49:17.631526304,Rice,Mombasa,817,91.47,29.8,104.4
2010-07-09 04:21:50.662132426,Tea,Nairobi,102,111.39,19.7,137.8
2010-07-10 04:54:23.692738546,Beans,Kisii,702,54.4,18.4,12.2
2010-07-11 05:26:56.723344668,Rice,Embu,835,99.87,26.3,73.1
2010-07-12 05:59:29.753950790,Beans,Nakuru,701,94.71,23.6,96.5
2010-07-13 06:32:02.784556910,Maize,Embu,588,125.84,35.0,86.6
2010-07-14 07:04:35.815163032,Tea,Embu,385,68.76,15.1,19.6
2010-07-15 07:37:08.845769152,Maize,Meru,957,51.27,25.5,193.5
2010-07-16 08:09:41.876375274,Maize,Muranga,776,129.5,29.6,158.2
2010-07-17 08:42:14.906981396,Tea,Nairobi,705,79.95,33.9,132.7
2010-07-18 09:14:47.937587516,Sorghum,Nakuru,670,87.04,30.1,70.6
2010-07-19 09:47:20.968193638,Rice,Kisii,462,57.77,18.9,137.2
2010-07-20 10:19:53.998799758,Sorghum,Mombasa,749,125.59,33.9,85.7
2010-07-21 10:52:27.029405880,Coffee,Muranga,822,134.02,33.9,75.0
2010-07-22 11:25:00.060012002,Coffee,Meru,474,143.69,18.1,36.3
2010-07-23 11:57:33.090618122,Coffee,Muranga,249,75.29,24.0,65.7
2010-07-24 12:30:06.121224244,Beans,Muranga,645,52.7,34.3,122.5
2010-07-25 13:02:39.151830364,Wheat,Muranga,707,53.4,29.3,119.8
2010-07-26 13:35:12.182436486,Wheat,Muranga,996,102.46,15.8,53.8
2010-07-27 14:07:45.213042608,Wheat,Eldoret,316,128.15,34.5,21.6
2010-07-28 14:40:18.243648728,Beans,Kisii,870,126.33,29.1,28.5
2010-07-29 15:12:51.274254848,Rice,Eldoret,467,108.5,34.0,167.5
2010-07-30 15:45:24.304860972,Sugarcane,Nakuru,613,110.58,18.2,2.7
2010-07-31 16:17:57.335467092,Coffee,Nairobi,341,64.39,19.1,122.8
2010-08-01 16:50:30.366073212,Coffee,Meru,503,55.91,16.2,183.9
2010-08-02 17:23:03.396679336,Sugarcane,Kisii,622,99.22,21.2,50.9
2010-08-03 17:55:36.427285456,Sorghum,Eldoret,151,95.74,28.7,159.3
2010-08-04 18:28:09.457891576,Sugarcane,Eldoret,703,98.65,31.0,51.5
2010-08-05 19:00:42.488497700,Maize,Nairobi,628,77.21,23.6,47.6
2010-08-06 19:33:15.519103820,Beans,Muranga,717,98.72,25.8,159.1
2010-08-07 20:05:48.549709940,Beans,Nakuru,574,61.44,25.3,1.3
2010-08-08 20:38:21.580316064,Sorghum,Meru,760,71.1,26.0,184.4
2010-08-09 21:10:54.610922184,Wheat,Mombasa,467,57.92,30.9,113.8
2010-08-10 21:43:27.641528304,Beans,Eldoret,152,54.37,15.8,184.6
2010-08-11 22:16:00.672134424,Rice,Eldoret,986,108.15,20.9,52.4
2010-08-12 22:48:33.702740548,Wheat,Muranga,703,54.29,28.6,182.9
2010-08-13 23:21:06.733346668,Rice,Mombasa,906,79.12,35.0,85.0
2010-08-14 23:53:39.763952788,Maize,Embu,775,128.27,25.0,128.7
2010-08-16 00:26:12.794558912,Maize,Meru,469,68.24,22.8,175.3
2010-08-17 00:58:45.825165032,Maize,Eldoret,787,101.19,32.5,175.8
2010-08-18 01:31:18.855771152,Rice,Kisii,859,105.9,29.8,31.9
2010-08-19 02:03:51.886377276,Rice,Muranga,334,71.25,16.0,0.5
2010-08-20 02:36:24.916983396,Tea,Meru,693,124.46,34.6,103.1
2010-08-21 03:08:57.947589516,Wheat,Kisii,682,52.35,32.1,45.7
2010-08-22 03:41:30.978195636,Beans,Muranga,991,90.55,19.8,89.9
2010-08-23 04:14:04.008801760,Sugarcane,Mombasa,428,81.71,17.7,41.8
2010-08-24 04:46:37.039407880,Beans,Nairobi,484,76.35,17.5,33.7
2010-08-25 05:19:10.070014000,Maize,Kisii,356,99.95,29.3,188.4
2010-08-26 05:51:43.100620124,Sorghum,Kisii,615,113.21,32.7,151.4
2010-08-27 06:24:16.131226244,Coffee,Nakuru,617,85.05,22.3,149.9
2010-08-28 06:56:49.161832364,Sugarcane,Eldoret,434,114.55,15.9,119.6
2010-08-29 07:29:22.192438488,Rice,Mombasa,561,97.24,20.4,164.1
2010-08-30 08:01:55.223044608,Maize,Embu,970,100.16,24.6,49.5
2010-08-31 08:34:28.253650728,Tea,Meru,793,131.08,21.9,61.2
2010-09-01 09:07:01.284256852,Maize,Meru,992,136.07,17.8,123.2
2010-09-02 09:39:34.314862972,Wheat,Nakuru,195,90.49,31.6,113.1
2010-09-03 10:12:07.345469092,Tea,Eldoret,978,139.21,26.7,103.8
2010-09-04 10:44:40.376075212,Rice,Kisii,639,115.35,28.6,23.9
2010-09-05 11:17:13.406681336,Rice,Meru,785,106.53,28.3,135.9
2010-09-06 11:49:46.437287456,Coffee,Nakuru,301,140.34,19.4,37.7
2010-09-07 12:22:19.467893576,Sugarcane,Muranga,800,83.32,22.3,66.0
2010-09-08 12:54:52.498499700,Sugarcane,Muranga,401,76.74,28.4,115.7
2010-09-09 13:27:25.529105820,Beans,Muranga,627,142.09,15.3,156.4
2010-09-10 13:59:58.559711940,Beans,Embu,513,63.71,29.5,193.1
2010-09-11 14:32:31.590318064,Beans,Meru,214,135.97,34.5,139.5
2010-09-12 15:05:04.620924184,Sugarcane,Embu,937,136.33,30.5,79.7
2010-09-13 15:37:37.651530304,Beans,Nairobi,720,69.55,15.5,18.4
2010-09-14 16:10:10.682136424,Sorghum,Kisii,100,57.24,24.4,89.8
2010-09-15 16:42:43.712742548,Tea,Embu,647,98.08,31.4,165.6
2010-09-16 17:15:16.743348668,Tea,Embu,947,59.41,34.9,191.8
2010-09-17 17:47:49.773954788,Tea,Kisii,559,108.53,27.1,59.3
2010-09-18 18:20:22.804560912,Sugarcane,Muranga,201,64.38,25.7,97.2
2010-09-19 18:52:55.835167032,Wheat,Eldoret,493,97.3,21.7,1.6
2010-09-20 19:25:28.865773152,Sugarcane,Muranga,475,112.54,15.6,147.5
2010-09-21 19:58:01.896379276,Tea,Nairobi,531,120.21,26.8,54.6
2010-09-22 20:30:34.926985396,Maize,Embu,779,127.68,29.1,151.3
2010-09-23 21:03:07.957591516,Tea,Nairobi,894,110.3,32.9,92.0
2010-09-24 21:35:40.988197640,Tea,Embu,737,77.05,23.9,196.4
2010-09-25 22:08:14.018803760,Tea,Nairobi,754,73.49,31.2,25.0
2010-09-26 22:40:47.049409880,Sorghum,Muranga,638,99.95,26.2,110.3
2010-09-27 23:13:20.080016000,Coffee,Kisii,609,121.6,34.2,90.2
2010-09-28 23:45:53.110622124,Maize,Muranga,933,79.38,30.9,191.9
2010-09-30 00:18:26.141228244,Tea,Muranga,359,118.95,32.4,53.2
2010-10-01 00:50:59.171834364,Beans,Nakuru,693,111.73,28.3,77.8
2010-10-02 01:23:32.202440488,Tea,Nairobi,201,104.89,19.2,22.1
2010-10-03 01:56:05.233046608,Wheat,Nakuru,733,94.76,26.6,154.7
2010-10-04 02:28:38.263652728,Sorghum,Kisii,986,64.72,25.1,67.3
2010-10-05 03:01:11.294258852,Sugarcane,Eldoret,309,143.13,25.3,198.3
2010-10-06 03:33:44.324864972,Tea,Nairobi,476,89.75,16.9,166.3
2010-10-07 04:06:17.355471092,Wheat,Eldoret,448,53.09,31.8,31.3
2010-10-08 04:38:50.386077212,Rice,Nakuru,466,118.44,23.2,28.5
2010-10-09 05:11:23.416683336,Tea,Nairobi,316,68.93,31.8,1.3
2010-10-10 05:43:56.447289456,Sugarcane,Nairobi,407,72.08,31.6,118.9
2010-10-11 06:16:29.477895576,Sugarcane,Mombasa,874,90.14,26.3,158.2
2010-10-12 06:49:02.508501700,Beans,Kisii,179,112.44,34.3,190.5
2010-10-13 07:21:35.539107820,Coffee,Meru,593,137.33,20.8,37.4
2010-10-14 07:54:08.569713940,Sugarcane,Muranga,616,101.75,29.4,95.3
2010-10-15 08:26:41.600320064,Sugarcane,Nakuru,728,113.88,31.1,45.8
2010-10-16 08:59:14.630926184,Sugarcane,Mombasa,775,113.93,17.7,70.2
2010-10-17 09:31:47.661532304,Sugarcane,Nakuru,203,79.58,33.4,24.9
2010-10-18 10:04:20.692138428,Rice,Eldoret,776,53.39,24.1,119.2
2010-10-19 10:36:53.722744548,Beans,Embu,894,144.58,32.4,134.7
2010-10-20 11:09:26.753350668,Sugarcane,Nairobi,520,121.76,27.1,93.2
2010-10-21 11:41:59.783956788,Rice,Muranga,753,72.82,30.7,115.2
2010-10-22 12:14:32.814562912,Sorghum,Nairobi,670,91.84,24.4,59.3
2010-10-23 12:47:05.845169032,Rice,Nairobi,787,118.9,22.2,133.8
2010-10-24 13:19:38.875775152,Sorghum,Muranga,965,54.08,23.6,82.7
2010-10-25 13:52:11.906381276,Coffee,Nairobi,740,58.89,19.8,155.9
2010-10-26 14:24:44.936987396,Beans,Nakuru,951,129.31,31.4,137.5
2010-10-27 14:57:17.967593516,Maize,Muranga,574,98.15,33.9,127.9
2010-10-28 15:29:50.998199640,Sugarcane,Muranga,539,64.53,32.8,150.7
2010-10-29 16:02:24.028805760,Coffee,Mombasa,925,78.37,15.1,143.4
2010-10-30 16:34:57.059411880,Sugarcane,Nakuru,840,109.05,20.7,160.8
2010-10-31 17:07:30.090018000,Sugarcane,Muranga,358,136.51,27.3,128.7
2010-11-01 17:40:03.120624124,Maize,Muranga,316,68.9,27.0,114.3
2010-11-02 18:12:36.151230244,Tea,Muranga,256,102.12,28.9,142.8
2010-11-03 18:45:09.181836364,Wheat,Kisii,330,105.77,26.4,122.4
2010-11-04 19:17:42.212442488,Rice,Kisii,998,58.75,29.7,18.7
2010-11-05 19:50:15.243048608,Tea,Embu,955,76.04,25.4,116.5
2010-11-06 20:22:48.273654728,Wheat,Nakuru,714,74.58,17.1,20.4
2010-11-07 20:55:21.304260852,Tea,Muranga,685,132.09,18.9,75.5
2010-11-08 21:27:54.334866972,Rice,Mombasa,133,54.47,22.7,6.4
2010-11-09 22:00:27.365473092,Beans,Embu,223,124.11,19.0,51.8
2010-11-10 22:33:00.396079216,Sugarcane,Meru,925,111.98,22.4,196.8
2010-11-11 23:05:33.426685336,Maize,Embu,549,56.89,28.1,48.3
2010-11-12 23:38:06.457291456,Maize,Kisii,434,65.86,31.1,56.2
2010-11-14 00:10:39.487897576,Coffee,Embu,301,86.34,33.6,159.5
2010-11-15 00:43:12.518503700,Coffee,Meru,771,144.98,24.4,3.4
2010-11-16 01:15:45.549109820,Sugarcane,Muranga,954,53.29,17.3,144.9
2010-11-17 01:48:18.579715940,Maize,Kisii,618,105.18,18.2,81.1
2010-11-18 02:20:51.610322064,Rice,Kisii,921,80.36,24.8,99.0
2010-11-19 02:53:24.640928184,Sugarcane,Eldoret,517,80.79,25.8,124.9
2010-11-20 03:25:57.671534304,Wheat,Muranga,175,144.47,21.2,122.6
2010-11-21 03:58:30.702140428,Sorghum,Eldoret,855,128.86,23.4,61.2
2010-11-22 04:31:03.732746548,Wheat,Eldoret,122,144.05,32.1,190.8
2010-11-23 05:03:36.763352668,Maize,Nairobi,518,74.66,25.2,189.0
2010-11-24 05:36:09.793958792,Coffee,Meru,544,91.69,31.4,77.2
2010-11-25 06:08:42.824564912,Maize,Nairobi,227,81.66,27.1,144.2
2010-11-26 06:41:15.855171032,Coffee,Embu,826,135.45,23.3,21.4
2010-11-27 07:13:48.885777152,Tea,Nairobi,555,142.91,15.4,96.4
2010-11-28 07:46:21.916383276,Sugarcane,Eldoret,187,102.6,24.7,143.8
2010-11-29 08:18:54.946989396,Maize,Mombasa,937,87.79,27.6,95.7
2010-11-30 08:51:27.977595516,Rice,Eldoret,638,77.97,21.1,165.0
2010-12-01 09:24:01.008201640,Sugarcane,Muranga,626,77.19,33.3,5.0
2010-12-02 09:56:34.038807760,Tea,Mombasa,554,98.94,34.2,199.4
2010-12-03 10:29:07.069413880,Maize,Mombasa,562,61.91,24.1,87.5
2010-12-04 11:01:40.100020004,Sugarcane,Meru,537,144.41,29.6,158.7
2010-12-05 11:34:13.130626124,Maize,Nairobi,840,58.9,26.4,38.0
2010-12-06 12:06:46.161232244,Beans,Meru,347,112.53,20.4,131.8
2010-12-07 12:39:19.191838364,Coffee,Embu,907,116.9,23.7,153.0
2010-12-08 13:11:52.222444488,Rice,Nakuru,787,145.05,17.8,129.4
2010-12-09 13:44:25.253050608,Maize,Embu,391,142.14,22.5,77.8
