Date,Crop_Type,Region,Market_Price_Per_Tonne_USD
2022-08-31,Sugarcane,Nairobi,120.19
2020-12-31,Tea,Kiambu,91.96
2016-08-31,Sugarcane,Muranga,117.22
2023-12-17,Coffee,Meru,76.57
2018-02-21,Coffee,Kericho,92.96
2015-07-06,Sorghum,Kisii,87.2
2021-11-16,Sugarcane,Muranga,79.49
2019-11-30,Sugarcane,Kiambu,68.63
2016-10-21,Sorghum,Kericho,49.42
2022-09-12,Tomatoes,Nairobi,100.71
2023-03-22,Tomatoes,Kericho,104.47
2020-05-09,Cabbage,Uasin Gishu,80.34
2021-09-16,Tomatoes,Nandi,157.1
2018-10-01,Wheat,Kericho,106.84
2020-06-09,Sugarcane,Embu,146.68
2019-03-15,Maize,Nairobi,108.41
2015-05-27,Sugarcane,Muranga,62.79
2023-10-25,Wheat,Meru,156.95
2022-12-21,Wheat,Nakuru,146.24
2019-10-01,Beans,Nairobi,96.55
2020-01-18,Sugarcane,Embu,69.17
2016-05-03,Potatoes,Uasin Gishu,66.72
2023-02-24,Wheat,Meru,136.72
2020-05-13,Maize,Kisii,48.29
2019-07-22,Sorghum,Nakuru,116.57
2022-02-11,Cabbage,Kericho,116.82
2021-07-13,Beans,Embu,61.89
2022-12-29,Sorghum,Kericho,124.59
2016-10-02,Beans,Kisii,124.65
2019-12-08,Maize,Nairobi,82.0
2021-11-25,Coffee,Nandi,98.01
2020-05-23,Sugarcane,Embu,139.93
2021-01-07,Tea,Kiambu,102.78
2018-12-09,Potatoes,Muranga,114.18
2019-06-23,Sorghum,Kiambu,89.53
2015-09-20,Sugarcane,Nandi,57.95
2019-11-23,Potatoes,Kisii,159.77
2020-12-31,Coffee,Kiambu,103.78
2021-07-21,Tea,Uasin Gishu,80.37
2016-09-15,Potatoes,Embu,125.65
2017-10-13,Potatoes,Uasin Gishu,114.5
2017-05-30,Sorghum,Nakuru,67.95
2020-08-11,Tomatoes,Nandi,145.23
2023-01-23,Tea,Nakuru,48.51
2018-08-20,Sugarcane,Nakuru,112.68
2021-04-20,Coffee,Nakuru,97.35
2016-03-28,Tea,Nairobi,78.18
2023-07-06,Maize,Nairobi,139.17
2018-03-29,Tomatoes,Nandi,118.75
2023-05-21,Maize,Meru,131.14
2020-08-18,Coffee,Kiambu,89.76
2023-09-06,Sorghum,Nairobi,153.09
2019-08-10,Sorghum,Kericho,81.37
2022-11-03,Coffee,Uasin Gishu,103.73
2021-03-05,Beans,Nairobi,152.04
2018-02-28,Coffee,Kisii,49.98
2016-02-08,Tomatoes,Nakuru,53.06
2021-01-08,Wheat,Nairobi,159.3
2020-10-02,Sorghum,Nandi,156.57
2023-09-27,Cabbage,Uasin Gishu,132.6
2019-08-24,Tomatoes,Uasin Gishu,98.1
2016-09-19,Tomatoes,Meru,100.73
2016-08-09,Tomatoes,Muranga,70.87
2019-07-07,Potatoes,Muranga,91.93
2018-12-14,Tomatoes,Kiambu,91.76
2018-12-16,Sorghum,Kericho,44.33
2015-04-14,Wheat,Embu,94.38
2015-09-11,Wheat,Nandi,97.58
2023-09-19,Tomatoes,Kisii,119.89
2022-01-01,Maize,Nairobi,101.97
2019-02-05,Sorghum,Nandi,143.4
2015-04-09,Sorghum,Kericho,84.11
2021-01-09,Tea,Muranga,89.17
2020-02-28,Sugarcane,Nandi,108.58
2023-02-09,Beans,Nairobi,64.33
2020-04-03,Beans,Meru,87.22
2017-05-27,Maize,Kiambu,122.34
2015-12-04,Beans,Meru,89.42
2022-11-09,Tea,Muranga,148.79
2023-11-09,Coffee,Nakuru,113.84
2017-08-14,Beans,Muranga,58.45
2019-09-01,Sorghum,Kiambu,98.49
2015-06-10,Coffee,Nairobi,131.77
2019-05-23,Beans,Kericho,117.2
2022-10-19,Sorghum,Embu,146.23
2016-02-02,Sorghum,Meru,130.0
2018-07-24,Tomatoes,Muranga,47.39
2017-03-26,Wheat,Kericho,53.5
2019-03-08,Maize,Meru,117.97
2020-04-03,Tea,Muranga,68.61
2018-11-16,Potatoes,Kiambu,110.54
2018-03-04,Sugarcane,Meru,135.07
2018-05-03,Beans,Muranga,109.23
2016-02-05,Beans,Nairobi,89.86
2016-10-01,Coffee,Kiambu,117.55
2023-07-02,Coffee,Kericho,57.23
2022-06-28,Sugarcane,Kericho,126.78
2016-04-04,Beans,Embu,123.64
2017-08-12,Cabbage,Nandi,101.73
2016-04-14,Tea,Nakuru,73.46
2017-11-11,Beans,Nairobi,135.71
2022-08-29,Wheat,Kiambu,101.27
2019-08-21,Sugarcane,Meru,47.1
2020-09-16,Cabbage,Kericho,150.23
2021-03-27,Tea,Nairobi,132.13
2016-07-16,Beans,Kiambu,110.18
2021-10-21,Potatoes,Kiambu,92.42
2019-12-05,Tomatoes,Meru,155.19
2020-09-05,Wheat,Kiambu,133.0
2015-08-14,Potatoes,Kisii,104.2
2017-03-08,Coffee,Nairobi,118.38
2021-05-20,Coffee,Muranga,73.69
2023-01-05,Beans,Kericho,63.49
2017-08-17,Coffee,Kericho,72.8
2019-02-13,Wheat,Muranga,75.18
2016-03-28,Tea,Nairobi,128.77
2023-05-26,Sorghum,Nakuru,56.81
2017-03-26,Maize,Nairobi,133.31
2016-10-20,Sugarcane,Uasin Gishu,102.81
2016-06-30,Tea,Kiambu,86.15
2018-04-30,Sorghum,Nandi,76.05
2023-07-18,Cabbage,Meru,101.58
2015-01-17,Wheat,Kisii,78.1
2023-11-18,Potatoes,Nandi,91.53
2018-05-28,Sorghum,Muranga,128.68
2021-01-14,Wheat,Meru,115.12
2021-11-29,Tomatoes,Meru,129.76
2017-12-05,Potatoes,Meru,125.56
2022-01-09,Coffee,Kericho,137.81
2020-11-16,Coffee,Kisii,64.2
2019-11-04,Potatoes,Kericho,159.41
2017-11-26,Cabbage,Kiambu,97.09
2021-05-16,Cabbage,Uasin Gishu,126.19
2021-12-19,Cabbage,Embu,121.33
2015-10-29,Sorghum,Kisii,107.94
2015-06-30,Sugarcane,Nandi,159.5
2016-08-29,Sorghum,Kiambu,66.08
2023-09-06,Beans,Nairobi,90.61
2016-11-30,Maize,Muranga,55.33
2017-09-19,Potatoes,Uasin Gishu,61.82
2018-02-13,Tea,Kiambu,125.56
2015-07-10,Maize,Nairobi,40.58
2021-04-19,Tomatoes,Uasin Gishu,146.78
2017-09-07,Sorghum,Nairobi,115.98
2023-02-23,Sorghum,Kisii,92.91
2020-06-29,Wheat,Nairobi,79.76
2018-03-30,Maize,Uasin Gishu,55.15
2015-05-08,Wheat,Nairobi,150.59
2020-08-27,Tea,Nandi,125.48
2019-12-22,Wheat,Kiambu,80.37
2019-10-25,Maize,Uasin Gishu,48.51
2022-02-26,Potatoes,Nandi,79.08
2016-07-23,Tomatoes,Nairobi,62.16
2018-09-08,Sorghum,Nairobi,134.35
2020-03-10,Tea,Meru,126.35
2022-06-26,Sorghum,Uasin Gishu,99.78
2016-09-17,Beans,Kisii,146.3
2022-12-11,Tomatoes,Nairobi,61.68
2019-08-14,Sugarcane,Muranga,94.24
2023-03-29,Wheat,Kericho,125.27
2015-06-04,Coffee,Embu,48.14
2021-12-12,Maize,Kericho,84.72
2018-11-10,Sorghum,Kisii,108.6
2017-02-23,Wheat,Kiambu,84.02
2023-09-11,Tea,Nakuru,97.62
2015-09-03,Sorghum,Muranga,112.97
2023-11-22,Sugarcane,Nakuru,84.21
2023-07-08,Tomatoes,Nairobi,52.72
2019-02-09,Tomatoes,Kiambu,56.73
2019-09-02,Sorghum,Nandi,103.24
2022-09-07,Tea,Nairobi,60.97
2016-06-21,Tomatoes,Nakuru,146.78
2020-03-05,Tomatoes,Nairobi,140.1
2020-01-16,Sugarcane,Embu,81.88
2017-07-09,Maize,Meru,139.72
2021-09-21,Tea,Embu,103.98
2016-06-08,Tea,Kiambu,59.09
2022-11-15,Potatoes,Nandi,113.71
2019-03-10,Potatoes,Embu,121.53
2023-01-29,Tomatoes,Uasin Gishu,50.07
2015-02-05,Coffee,Nandi,77.73
2016-11-15,Potatoes,Nakuru,40.65
2015-01-20,Tomatoes,Embu,77.97
2021-06-26,Cabbage,Meru,80.25
2022-01-03,Beans,Nandi,115.63
2016-02-04,Beans,Nairobi,63.89
2022-05-25,Tea,Meru,43.61
2017-08-29,Coffee,Nairobi,77.88
2020-03-21,Sugarcane,Embu,139.07
2021-11-23,Maize,Muranga,87.9
2018-03-12,Potatoes,Muranga,89.81
2018-01-20,Cabbage,Nakuru,96.28
2017-04-13,Tomatoes,Meru,130.21
2019-12-29,Coffee,Nairobi,97.6
2022-08-06,Tea,Kisii,50.95
2020-06-05,Potatoes,Meru,64.77
2017-05-03,Coffee,Uasin Gishu,62.55
2015-02-20,Potatoes,Nakuru,100.94
2016-07-28,Maize,Kericho,43.59
2023-12-06,Maize,Kericho,74.03
2018-02-22,Sugarcane,Nairobi,112.86
2021-01-06,Beans,Muranga,82.56
2021-06-19,Wheat,Nandi,124.93
2022-03-02,Wheat,Uasin Gishu,86.95
2021-06-10,Potatoes,Kericho,157.51
2019-09-12,Sugarcane,Nairobi,155.84
2016-11-12,Wheat,Nairobi,135.98
2017-04-17,Tea,Embu,154.53
2017-12-13,Wheat,Muranga,64.57
2023-05-09,Sorghum,Meru,130.11
2021-10-27,Tomatoes,Nandi,78.6
2022-04-14,Sugarcane,Embu,127.04
2023-04-29,Tea,Kericho,84.87
2021-04-30,Coffee,Nandi,74.73
2023-07-22,Tea,Nakuru,155.06
2019-05-15,Beans,Muranga,65.19
2023-05-10,Coffee,Kericho,131.03
2015-01-05,Cabbage,Nairobi,120.96
2018-01-31,Tomatoes,Kericho,76.42
2018-05-04,Tomatoes,Kisii,95.0
2017-02-12,Tomatoes,Kiambu,57.15
2017-05-26,Tomatoes,Kiambu,150.55
2017-09-18,Potatoes,Kericho,156.17
2023-01-10,Tomatoes,Kisii,127.9
2015-02-16,Tomatoes,Kericho,141.93
2022-12-24,Tomatoes,Kiambu,49.91
2022-11-10,Sugarcane,Embu,86.08
2023-03-03,Potatoes,Nakuru,79.7
2022-05-27,Maize,Kiambu,107.79
2015-09-26,Tea,Nakuru,62.0
2016-01-05,Tea,Nairobi,107.61
2016-09-27,Coffee,Nakuru,118.52
2018-02-03,Sugarcane,Embu,55.88
2019-08-21,Sorghum,Kisii,55.81
2019-08-10,Tea,Nakuru,44.25
2016-10-18,Wheat,Nandi,131.31
2015-04-30,Sorghum,Meru,79.72
2017-04-10,Tomatoes,Kiambu,67.05
2019-12-16,Tomatoes,Kisii,133.37
2017-12-17,Potatoes,Uasin Gishu,57.19
2020-05-28,Sorghum,Nairobi,91.26
2018-10-01,Wheat,Meru,129.37
2017-01-10,Potatoes,Nandi,108.86
2015-04-27,Coffee,Muranga,106.48
2020-01-28,Sorghum,Embu,58.9
2022-10-09,Sugarcane,Kericho,61.71
2018-02-24,Tomatoes,Meru,109.91
2020-04-15,Tomatoes,Kisii,42.83
2017-10-09,Beans,Kisii,144.29
2019-07-23,Potatoes,Kisii,82.06
2017-12-17,Maize,Nairobi,89.99
2016-09-25,Maize,Nakuru,71.01
2016-05-27,Potatoes,Kiambu,145.2
2022-10-20,Sugarcane,Muranga,117.1
2018-01-24,Cabbage,Kericho,93.99
2018-02-15,Potatoes,Kisii,110.24
2016-07-13,Sugarcane,Kericho,85.64
2016-05-02,Coffee,Uasin Gishu,95.87
2017-06-15,Tomatoes,Nairobi,82.92
2018-04-27,Wheat,Kisii,89.28
2016-12-04,Cabbage,Uasin Gishu,77.8
2019-01-10,Sorghum,Muranga,49.32
2016-08-03,Cabbage,Muranga,44.48
2022-10-08,Wheat,Kiambu,60.89
2022-12-18,Beans,Nandi,70.2
2021-04-13,Tomatoes,Kiambu,146.86
2023-08-14,Maize,Nakuru,113.35
2015-06-03,Sugarcane,Kericho,155.0
2019-08-07,Potatoes,Embu,80.76
2017-09-23,Potatoes,Muranga,88.21
2023-08-24,Maize,Embu,126.37
2022-07-07,Cabbage,Nairobi,109.35
2018-05-28,Tomatoes,Meru,103.35
2017-12-28,Tea,Kisii,109.07
2023-07-16,Sugarcane,Nairobi,110.1
2017-10-05,Coffee,Muranga,131.89
2020-11-11,Wheat,Uasin Gishu,120.17
2019-11-09,Cabbage,Kericho,154.88
2017-08-15,Sorghum,Embu,153.76
2023-05-18,Beans,Kiambu,90.63
2016-03-28,Potatoes,Meru,44.29
2018-05-12,Cabbage,Nandi,41.33
2023-02-07,Beans,Nairobi,54.78
2021-03-15,Wheat,Nandi,48.99
2021-11-26,Potatoes,Embu,84.8
2021-10-15,Potatoes,Embu,46.34
2021-07-16,Tea,Kisii,114.99
2016-07-04,Cabbage,Uasin Gishu,62.82
2019-06-24,Tomatoes,Uasin Gishu,101.68
2018-08-05,Maize,Nakuru,52.37
2019-10-24,Maize,Kiambu,139.33
2015-12-23,Coffee,Muranga,133.6
2020-09-01,Sorghum,Muranga,86.38
2019-11-21,Beans,Embu,149.27
2022-01-13,Cabbage,Nairobi,62.28
2019-11-17,Sugarcane,Kericho,137.67
2023-09-07,Sorghum,Muranga,105.5
2022-10-20,Tea,Muranga,79.55
2023-11-26,Potatoes,Nairobi,50.12
2022-09-10,Tomatoes,Kiambu,60.56
2021-10-25,Cabbage,Meru,143.54
2019-06-20,Sorghum,Uasin Gishu,112.83
2022-09-17,Sorghum,Kisii,68.45
2017-10-12,Tomatoes,Kisii,99.5
2018-09-10,Coffee,Kisii,52.94
2016-05-30,Beans,Nairobi,51.86
2023-06-15,Beans,Kisii,148.93
2022-10-10,Sorghum,Embu,94.94
2015-12-02,Wheat,Nakuru,83.39
2019-11-18,Sorghum,Nairobi,153.89
2021-04-24,Sorghum,Nairobi,87.88
2016-05-11,Tomatoes,Uasin Gishu,80.35
2017-06-14,Potatoes,Kisii,72.76
2021-01-16,Tomatoes,Nandi,107.81
2017-05-01,Cabbage,Meru,107.01
2019-08-15,Sorghum,Nakuru,41.94
2020-04-15,Beans,Nairobi,118.49
2022-06-30,Sugarcane,Nakuru,134.6
2021-08-24,Beans,Nairobi,113.92
2019-04-18,Maize,Kiambu,144.39
2017-08-14,Coffee,Uasin Gishu,73.17
2022-07-01,Tea,Embu,63.04
2019-06-25,Cabbage,Kiambu,123.67
2018-07-15,Cabbage,Kericho,62.63
2018-12-11,Coffee,Kisii,50.93
2018-04-06,Sugarcane,Kericho,51.59
2017-12-02,Tea,Meru,132.21
2015-10-12,Potatoes,Nandi,43.45
2021-09-10,Sorghum,Embu,74.73
2015-01-12,Tea,Kiambu,55.5
2019-06-19,Sugarcane,Nakuru,130.59
2021-12-21,Wheat,Nakuru,100.42
2017-01-23,Maize,Meru,64.66
2020-09-13,Tea,Nairobi,130.05
2022-08-06,Tea,Nakuru,130.04
2022-12-06,Maize,Kisii,102.76
2015-03-31,Sorghum,Nandi,73.1
2017-02-14,Tea,Uasin Gishu,110.35
2022-04-06,Maize,Kisii,152.02
2023-04-06,Maize,Nandi,46.2
2019-06-14,Maize,Meru,72.03
2023-05-28,Tomatoes,Kisii,74.2
2016-02-22,Sugarcane,Uasin Gishu,115.82
2015-04-25,Tomatoes,Uasin Gishu,118.14
2016-09-08,Wheat,Muranga,64.76
2023-12-12,Potatoes,Nairobi,65.93
2017-04-05,Tomatoes,Meru,151.39
2019-07-08,Tomatoes,Kisii,130.76
2019-02-25,Sugarcane,Embu,152.11
2023-08-13,Potatoes,Embu,139.56
2016-02-17,Coffee,Meru,88.25
2016-12-29,Maize,Kisii,54.63
2023-05-27,Cabbage,Kiambu,115.55
2022-09-09,Potatoes,Kiambu,82.24
2016-11-06,Wheat,Nairobi,91.05
2020-03-07,Sorghum,Kisii,91.11
2021-11-09,Wheat,Uasin Gishu,152.38
2023-02-15,Maize,Nakuru,48.26
2021-02-17,Potatoes,Embu,63.17
2022-08-18,Wheat,Kisii,112.95
2018-01-27,Wheat,Kisii,146.05
2019-04-21,Coffee,Nakuru,150.15
2017-09-04,Coffee,Nakuru,107.04
2017-10-05,Potatoes,Nandi,44.15
2020-11-13,Maize,Muranga,83.55
2019-08-15,Tomatoes,Nairobi,150.26
2022-06-03,Beans,Embu,99.99
2023-12-06,Tea,Nakuru,127.19
2015-02-06,Cabbage,Kiambu,72.3
2019-03-29,Tea,Meru,43.0
2021-05-15,Sugarcane,Kiambu,109.4
2021-03-14,Coffee,Nandi,140.2
2022-12-24,Potatoes,Nandi,158.83
2017-05-22,Tea,Nakuru,141.6
2019-12-27,Maize,Nandi,106.48
2018-07-20,Cabbage,Uasin Gishu,113.05
2020-10-10,Tea,Kericho,138.9
2016-08-18,Cabbage,Kisii,42.38
2020-03-18,Sorghum,Kisii,154.2
2016-12-29,Maize,Nakuru,103.75
