Date,Region,Avg_Temperature_Celsius,Avg_Rainfall_mm
2010-04-11 05:09:56.999399879,Kisii,30.0,157.0
2010-04-12 05:42:30.030006001,Embu,25.1,146.8
2010-04-13 06:15:03.060612122,Nakuru,26.0,138.5
2010-04-14 06:47:36.091218243,Meru,29.1,162.2
2010-04-15 07:20:09.121824364,Muranga,34.8,98.7
2010-04-16 07:52:42.152430486,Eldoret,19.7,168.6
2010-04-17 08:25:15.183036606,Muranga,32.6,101.8
2010-04-18 08:57:48.213642728,Meru,26.6,118.7
2010-04-19 09:30:21.244248850,Mombasa,17.2,43.5
2010-04-20 10:02:54.274854970,Nairobi,17.7,86.2
2010-04-21 10:35:27.305461092,Mombasa,30.2,123.6
2010-04-22 11:08:00.336067212,Nairobi,15.9,27.6
2010-04-23 11:40:33.366673334,Eldoret,20.7,17.4
2010-04-24 12:13:06.397279456,Nakuru,21.2,59.9
2010-04-25 12:45:39.427885576,Eldoret,27.7,61.9
2010-04-26 13:18:12.458491698,Embu,19.2,32.7
2010-04-27 13:50:45.489097818,Eldoret,26.9,52.8
2010-04-28 14:23:18.519703940,Eldoret,21.5,188.9
2010-04-29 14:55:51.550310062,Embu,33.8,131.1
2010-04-30 15:28:24.580916182,Eldoret,28.3,189.9
2010-05-01 16:00:57.611522304,Nakuru,25.9,63.1
2010-05-02 16:33:30.642128426,Meru,19.8,87.2
2010-05-03 17:06:03.672734546,Embu,16.3,68.0
2010-05-04 17:38:36.703340668,Embu,30.6,190.3
2010-05-05 18:11:09.733946788,Muranga,30.6,76.3
2010-05-06 18:43:42.764552910,Mombasa,18.0,165.6
2010-05-07 19:16:15.795159032,Nairobi,26.2,176.9
2010-05-08 19:48:48.825765152,Meru,32.5,154.9
2010-05-09 20:21:21.856371274,Kisii,22.8,52.2
2010-05-10 20:53:54.886977394,Embu,30.1,141.0
2010-05-11 21:26:27.917583516,Meru,19.6,188.0
2010-05-12 21:59:00.948189638,Muranga,28.9,154.3
2010-05-13 22:31:33.978795758,Embu,17.4,50.3
2010-05-14 23:04:07.009401880,Eldoret,27.7,20.8
2010-05-15 23:36:40.040008000,Nairobi,18.3,164.4
2010-05-17 00:09:13.070614122,Nakuru,30.4,89.1
2010-05-18 00:41:46.101220244,Embu,20.6,61.9
2010-05-19 01:14:19.131826364,Nairobi,21.2,25.1
2010-05-20 01:46:52.162432486,Eldoret,25.8,44.0
2010-05-21 02:19:25.193038606,Meru,17.0,187.7
2010-05-22 02:51:58.223644728,Nairobi,15.3,157.7
2010-05-23 03:24:31.254250850,Nakuru,21.8,16.2
2010-05-24 03:57:04.284856970,Kisii,34.3,0.3
2010-05-25 04:29:37.315463092,Embu,24.4,56.1
2010-05-26 05:02:10.346069214,Nairobi,25.1,114.7
2010-05-27 05:34:43.376675334,Meru,32.3,71.7
2010-05-28 06:07:16.407281456,Meru,20.9,67.8
2010-05-29 06:39:49.437887576,Nairobi,19.3,83.4
2010-05-30 07:12:22.468493698,Mombasa,26.4,79.8
2010-05-31 07:44:55.499099820,Meru,33.8,116.1
2010-06-01 08:17:28.529705940,Embu,16.6,66.9
2010-06-02 08:50:01.560312062,Eldoret,17.9,164.2
2010-06-03 09:22:34.590918182,Kisii,29.9,132.2
2010-06-04 09:55:07.621524304,Mombasa,16.9,157.7
2010-06-05 10:27:40.652130426,Meru,26.6,26.5
2010-06-06 11:00:13.682736546,Embu,20.0,131.1
2010-06-07 11:32:46.713342668,Nakuru,34.4,22.9
2010-06-08 12:05:19.743948788,Meru,21.8,111.4
2010-06-09 12:37:52.774554910,Nakuru,30.6,26.6
2010-06-10 13:10:25.805161032,Embu,24.6,99.1
2010-06-11 13:42:58.835767152,Meru,17.9,17.6
2010-06-12 14:15:31.866373274,Muranga,34.1,159.9
2010-06-13 14:48:04.896979396,Kisii,25.8,51.9
2010-06-14 15:20:37.927585516,Embu,20.4,189.7
2010-06-15 15:53:10.958191638,Embu,29.0,175.2
2010-06-16 16:25:43.988797758,Mombasa,19.9,160.2
2010-06-17 16:58:17.019403880,Mombasa,22.9,2.7
2010-06-18 17:30:50.050010002,Embu,28.8,86.8
2010-06-19 18:03:23.080616122,Nakuru,31.3,39.8
2010-06-20 18:35:56.111222244,Eldoret,19.2,54.9
2010-06-21 19:08:29.141828364,Mombasa,32.9,87.5
2010-06-22 19:41:02.172434486,Mombasa,31.4,57.3
2010-06-23 20:13:35.203040608,Muranga,30.1,66.7
2010-06-24 20:46:08.233646728,Mombasa,15.4,194.2
2010-06-25 21:18:41.264252850,Meru,15.2,102.0
2010-06-26 21:51:14.294858970,Nakuru,15.5,155.5
2010-06-27 22:23:47.325465092,Nakuru,22.5,50.1
2010-06-28 22:56:20.356071214,Muranga,22.6,185.5
2010-06-29 23:28:53.386677334,Nairobi,34.3,179.9
2010-07-01 00:01:26.417283456,Mombasa,29.8,182.8
2010-07-02 00:33:59.447889576,Nairobi,17.7,24.9
2010-07-03 01:06:32.478495698,Embu,30.9,92.2
2010-07-04 01:39:05.509101820,Nairobi,15.9,117.1
2010-07-05 02:11:38.539707940,Eldoret,21.7,2.4
2010-07-06 02:44:11.570314062,Mombasa,18.1,64.5
2010-07-07 03:16:44.600920184,Eldoret,19.4,19.2
2010-07-08 03:49:17.631526304,Embu,25.6,29.5
2010-07-09 04:21:50.662132426,Embu,17.5,128.1
2010-07-10 04:54:23.692738546,Eldoret,15.7,2.7
2010-07-11 05:26:56.723344668,Kisii,34.0,168.0
2010-07-12 05:59:29.753950790,Nakuru,16.3,171.6
2010-07-13 06:32:02.784556910,Muranga,25.4,138.0
2010-07-14 07:04:35.815163032,Meru,18.7,120.6
2010-07-15 07:37:08.845769152,Meru,22.4,174.8
2010-07-16 08:09:41.876375274,Nairobi,17.9,90.3
2010-07-17 08:42:14.906981396,Meru,32.1,0.8
2010-07-18 09:14:47.937587516,Nairobi,16.9,46.7
2010-07-19 09:47:20.968193638,Kisii,19.4,128.1
2010-07-20 10:19:53.998799758,Nakuru,25.8,89.2
2010-07-21 10:52:27.029405880,Kisii,20.4,123.4
2010-07-22 11:25:00.060012002,Embu,24.0,39.8
2010-07-23 11:57:33.090618122,Eldoret,17.9,56.6
2010-07-24 12:30:06.121224244,Mombasa,17.0,18.8
2010-07-25 13:02:39.151830364,Mombasa,15.3,137.5
2010-07-26 13:35:12.182436486,Mombasa,21.6,12.0
2010-07-27 14:07:45.213042608,Nakuru,33.2,131.2
2010-07-28 14:40:18.243648728,Meru,26.4,186.4
2010-07-29 15:12:51.274254848,Meru,25.2,0.9
2010-07-30 15:45:24.304860972,Mombasa,15.5,13.2
2010-07-31 16:17:57.335467092,Meru,27.6,156.6
2010-08-01 16:50:30.366073212,Eldoret,23.8,101.0
2010-08-02 17:23:03.396679336,Nairobi,22.9,135.1
2010-08-03 17:55:36.427285456,Eldoret,30.5,150.3
2010-08-04 18:28:09.457891576,Nakuru,30.3,96.1
2010-08-05 19:00:42.488497700,Muranga,32.7,79.1
2010-08-06 19:33:15.519103820,Mombasa,19.8,180.2
2010-08-07 20:05:48.549709940,Nairobi,32.1,6.1
2010-08-08 20:38:21.580316064,Kisii,31.1,94.0
2010-08-09 21:10:54.610922184,Eldoret,32.5,139.5
2010-08-10 21:43:27.641528304,Meru,30.9,42.6
2010-08-11 22:16:00.672134424,Mombasa,17.6,150.0
2010-08-12 22:48:33.702740548,Meru,18.5,64.0
2010-08-13 23:21:06.733346668,Eldoret,20.4,198.2
2010-08-14 23:53:39.763952788,Muranga,21.5,66.4
2010-08-16 00:26:12.794558912,Kisii,22.1,13.3
2010-08-17 00:58:45.825165032,Kisii,25.3,129.5
2010-08-18 01:31:18.855771152,Nakuru,15.8,107.5
2010-08-19 02:03:51.886377276,Embu,26.9,133.9
2010-08-20 02:36:24.916983396,Muranga,18.8,190.6
2010-08-21 03:08:57.947589516,Mombasa,18.2,110.0
2010-08-22 03:41:30.978195636,Kisii,18.3,93.6
2010-08-23 04:14:04.008801760,Embu,27.4,124.5
2010-08-24 04:46:37.039407880,Meru,32.7,180.5
2010-08-25 05:19:10.070014000,Muranga,25.8,92.1
2010-08-26 05:51:43.100620124,Embu,16.3,119.8
2010-08-27 06:24:16.131226244,Eldoret,18.3,189.3
2010-08-28 06:56:49.161832364,Eldoret,23.6,34.9
2010-08-29 07:29:22.192438488,Muranga,27.8,123.5
2010-08-30 08:01:55.223044608,Eldoret,23.9,117.2
2010-08-31 08:34:28.253650728,Nakuru,30.3,129.1
2010-09-01 09:07:01.284256852,Eldoret,19.2,77.4
2010-09-02 09:39:34.314862972,Embu,33.1,82.6
2010-09-03 10:12:07.345469092,Meru,19.2,58.3
2010-09-04 10:44:40.376075212,Kisii,29.2,149.6
2010-09-05 11:17:13.406681336,Kisii,18.0,92.2
2010-09-06 11:49:46.437287456,Kisii,28.5,106.5
2010-09-07 12:22:19.467893576,Nairobi,15.9,198.1
2010-09-08 12:54:52.498499700,Muranga,15.5,81.5
2010-09-09 13:27:25.529105820,Eldoret,23.0,17.3
2010-09-10 13:59:58.559711940,Nakuru,31.0,14.1
2010-09-11 14:32:31.590318064,Mombasa,18.4,74.3
2010-09-12 15:05:04.620924184,Meru,22.2,188.7
2010-09-13 15:37:37.651530304,Nakuru,30.1,6.8
2010-09-14 16:10:10.682136424,Meru,31.2,119.2
2010-09-15 16:42:43.712742548,Muranga,15.4,164.9
2010-09-16 17:15:16.743348668,Mombasa,16.4,184.6
2010-09-17 17:47:49.773954788,Meru,17.9,194.3
2010-09-18 18:20:22.804560912,Muranga,29.1,44.4
2010-09-19 18:52:55.835167032,Meru,19.1,54.4
2010-09-20 19:25:28.865773152,Kisii,15.8,83.2
2010-09-21 19:58:01.896379276,Mombasa,21.1,144.9
2010-09-22 20:30:34.926985396,Embu,19.8,53.2
2010-09-23 21:03:07.957591516,Embu,18.1,114.8
2010-09-24 21:35:40.988197640,Muranga,16.8,111.8
2010-09-25 22:08:14.018803760,Nairobi,24.9,66.4
2010-09-26 22:40:47.049409880,Nairobi,27.4,132.2
2010-09-27 23:13:20.080016000,Kisii,28.4,111.1
2010-09-28 23:45:53.110622124,Muranga,29.4,155.3
2010-09-30 00:18:26.141228244,Meru,15.8,25.0
2010-10-01 00:50:59.171834364,Meru,31.1,131.3
2010-10-02 01:23:32.202440488,Nairobi,26.2,62.1
2010-10-03 01:56:05.233046608,Nakuru,29.0,144.3
2010-10-04 02:28:38.263652728,Eldoret,20.6,86.9
2010-10-05 03:01:11.294258852,Embu,17.6,185.6
2010-10-06 03:33:44.324864972,Mombasa,24.4,182.2
2010-10-07 04:06:17.355471092,Embu,16.0,78.3
2010-10-08 04:38:50.386077212,Nairobi,17.6,155.5
2010-10-09 05:11:23.416683336,Embu,27.0,44.4
2010-10-10 05:43:56.447289456,Eldoret,28.2,102.6
2010-10-11 06:16:29.477895576,Embu,29.9,108.3
2010-10-12 06:49:02.508501700,Kisii,24.5,75.2
2010-10-13 07:21:35.539107820,Muranga,20.2,172.9
2010-10-14 07:54:08.569713940,Muranga,28.8,53.5
2010-10-15 08:26:41.600320064,Eldoret,15.9,191.6
2010-10-16 08:59:14.630926184,Nairobi,17.8,151.9
2010-10-17 09:31:47.661532304,Nairobi,19.4,5.7
2010-10-18 10:04:20.692138428,Kisii,15.4,196.9
2010-10-19 10:36:53.722744548,Meru,17.4,193.6
2010-10-20 11:09:26.753350668,Eldoret,32.6,53.8
2010-10-21 11:41:59.783956788,Muranga,32.9,46.6
2010-10-22 12:14:32.814562912,Mombasa,26.3,176.2
2010-10-23 12:47:05.845169032,Mombasa,22.0,23.4
2010-10-24 13:19:38.875775152,Mombasa,20.1,144.3
2010-10-25 13:52:11.906381276,Nakuru,32.3,191.3
2010-10-26 14:24:44.936987396,Muranga,18.7,126.9
2010-10-27 14:57:17.967593516,Nakuru,23.2,62.0
2010-10-28 15:29:50.998199640,Kisii,32.6,40.7
2010-10-29 16:02:24.028805760,Kisii,18.7,1.2
2010-10-30 16:34:57.059411880,Muranga,27.3,116.7
2010-10-31 17:07:30.090018000,Kisii,30.3,143.0
2010-11-01 17:40:03.120624124,Mombasa,28.7,142.2
2010-11-02 18:12:36.151230244,Embu,29.1,104.4
2010-11-03 18:45:09.181836364,Eldoret,21.4,78.4
2010-11-04 19:17:42.212442488,Eldoret,20.0,161.7
2010-11-05 19:50:15.243048608,Meru,21.4,170.0
2010-11-06 20:22:48.273654728,Embu,23.7,63.7
2010-11-07 20:55:21.304260852,Eldoret,25.3,53.8
2010-11-08 21:27:54.334866972,Kisii,28.7,193.1
2010-11-09 22:00:27.365473092,Muranga,23.1,20.5
2010-11-10 22:33:00.396079216,Nairobi,18.4,172.6
2010-11-11 23:05:33.426685336,Muranga,32.1,100.2
2010-11-12 23:38:06.457291456,Nakuru,17.8,9.9
2010-11-14 00:10:39.487897576,Meru,17.3,168.2
2010-11-15 00:43:12.518503700,Embu,22.4,157.1
2010-11-16 01:15:45.549109820,Kisii,26.1,170.5
2010-11-17 01:48:18.579715940,Embu,20.6,85.5
2010-11-18 02:20:51.610322064,Embu,28.8,15.1
2010-11-19 02:53:24.640928184,Meru,19.2,138.3
2010-11-20 03:25:57.671534304,Nakuru,32.5,170.7
2010-11-21 03:58:30.702140428,Nairobi,22.5,14.6
2010-11-22 04:31:03.732746548,Embu,31.4,156.9
2010-11-23 05:03:36.763352668,Kisii,22.8,48.1
2010-11-24 05:36:09.793958792,Mombasa,28.6,50.8
2010-11-25 06:08:42.824564912,Mombasa,20.8,133.9
2010-11-26 06:41:15.855171032,Muranga,16.1,161.1
2010-11-27 07:13:48.885777152,Eldoret,19.1,97.2
2010-11-28 07:46:21.916383276,Eldoret,30.6,123.0
2010-11-29 08:18:54.946989396,Meru,16.0,13.1
2010-11-30 08:51:27.977595516,Mombasa,33.2,53.4
2010-12-01 09:24:01.008201640,Embu,15.9,110.5
2010-12-02 09:56:34.038807760,Kisii,32.6,137.2
2010-12-03 10:29:07.069413880,Meru,23.4,83.5
2010-12-04 11:01:40.100020004,Nakuru,34.6,92.9
2010-12-05 11:34:13.130626124,Nairobi,17.2,188.1
2010-12-06 12:06:46.161232244,Eldoret,18.7,131.1
2010-12-07 12:39:19.191838364,Mombasa,28.8,89.5
2010-12-08 13:11:52.222444488,Embu,21.5,11.0
2010-12-09 13:44:25.253050608,Meru,26.9,50.6
2010-12-10 14:16:58.283656728,Mombasa,15.6,109.9
2010-12-11 14:49:31.314262852,Eldoret,29.9,35.3
2010-12-12 15:22:04.344868972,Nairobi,24.8,145.1
2010-12-13 15:54:37.375475092,Mombasa,18.7,11.4
2010-12-14 16:27:10.406081216,Eldoret,34.5,103.5
2010-12-15 16:59:43.436687336,Mombasa,30.2,3.7
2010-12-16 17:32:16.467293456,Kisii,28.6,106.8
2010-12-17 18:04:49.497899580,Meru,23.4,112.5
2010-12-18 18:37:22.528505700,Embu,23.7,197.2
2010-12-19 19:09:55.559111820,Muranga,27.3,106.6
2010-12-20 19:42:28.589717940,Nakuru,27.1,63.3
2010-12-21 20:15:01.620324064,Eldoret,32.7,28.9
2010-12-22 20:47:34.650930184,Kisii,26.4,88.9
2010-12-23 21:20:07.681536304,Mombasa,34.8,112.2
2010-12-24 21:52:40.712142428,Meru,22.2,1.4
2010-12-25 22:25:13.742748548,Kisii,26.5,57.9
2010-12-26 22:57:46.773354668,Embu,15.1,96.1
2010-12-27 23:30:19.803960792,Nairobi,22.4,24.3
2010-12-29 00:02:52.834566912,Meru,17.5,128.8
2010-12-30 00:35:25.865173032,Meru,33.3,143.4
2010-12-31 01:07:58.895779152,Muranga,24.9,6.5
2011-01-01 01:40:31.926385276,Nakuru,24.7,75.3
2011-01-02 02:13:04.956991396,Kisii,25.3,41.8
2011-01-03 02:45:37.987597516,Mombasa,30.0,147.6
2011-01-04 03:18:11.018203640,Kisii,27.2,127.7
2011-01-05 03:50:44.048809760,Nairobi,17.8,168.0
2011-01-06 04:23:17.079415880,Kisii,18.5,149.6
2011-01-07 04:55:50.110022004,Nairobi,23.9,191.4
2011-01-08 05:28:23.140628124,Meru,18.1,72.9
2011-01-09 06:00:56.171234244,Nakuru,18.2,81.7
2011-01-10 06:33:29.201840368,Embu,33.0,167.5
2011-01-11 07:06:02.232446488,Eldoret,28.0,193.1
2011-01-12 07:38:35.263052608,Kisii,26.6,108.7
2011-01-13 08:11:08.293658728,Embu,29.2,8.5
2011-01-14 08:43:41.324264852,Nakuru,22.7,16.3
2011-01-15 09:16:14.354870972,Kisii,16.8,155.5
2011-01-16 09:48:47.385477092,Eldoret,28.9,128.1
2011-01-17 10:21:20.416083216,Embu,15.5,158.8
2011-01-18 10:53:53.446689336,Eldoret,19.8,2.3
2011-01-19 11:26:26.477295456,Meru,30.7,109.4
2011-01-20 11:58:59.507901580,Mombasa,32.0,30.8
2011-01-21 12:31:32.538507700,Eldoret,33.1,54.5
2011-01-22 13:04:05.569113820,Nairobi,26.3,67.1
2011-01-23 13:36:38.599719940,Mombasa,15.8,164.5
2011-01-24 14:09:11.630326064,Eldoret,21.8,69.1
2011-01-25 14:41:44.660932184,Mombasa,26.7,57.6
2011-01-26 15:14:17.691538304,Embu,23.6,105.6
2011-01-27 15:46:50.722144428,Mombasa,26.3,118.9
2011-01-28 16:19:23.752750548,Nakuru,22.8,55.3
2011-01-29 16:51:56.783356668,Kisii,31.7,10.2
2011-01-30 17:24:29.813962792,Nakuru,32.5,23.5
2011-01-31 17:57:02.844568912,Embu,33.1,183.5
2011-02-01 18:29:35.875175032,Kisii,18.6,58.5
2011-02-02 19:02:08.905781156,Muranga,26.9,43.2
2011-02-03 19:34:41.936387276,Nairobi,18.7,178.0
2011-02-04 20:07:14.966993396,Eldoret,33.2,115.5
2011-02-05 20:39:47.997599516,Muranga,31.4,150.1
2011-02-06 21:12:21.028205640,Nairobi,31.7,117.4
2011-02-07 21:44:54.058811760,Kisii,30.7,2.3
2011-02-08 22:17:27.089417880,Eldoret,27.4,155.6
2011-02-09 22:50:00.120024004,Mombasa,33.1,57.8
2011-02-10 23:22:33.150630124,Nairobi,23.1,47.4
2011-02-11 23:55:06.181236244,Eldoret,23.9,169.6
2011-02-13 00:27:39.211842368,Mombasa,23.1,37.0
2011-02-14 01:00:12.242448488,Eldoret,32.8,65.8
2011-02-15 01:32:45.273054608,Mombasa,27.1,10.5
2011-02-16 02:05:18.303660728,Mombasa,20.2,41.2
2011-02-17 02:37:51.334266852,Mombasa,30.3,137.5
2011-02-18 03:10:24.364872972,Embu,20.4,2.9
2011-02-19 03:42:57.395479092,Eldoret,16.6,99.9
2011-02-20 04:15:30.426085216,Kisii,29.6,155.5
2011-02-21 04:48:03.456691336,Muranga,29.8,134.2
2011-02-22 05:20:36.487297456,Eldoret,34.5,128.1
2011-02-23 05:53:09.517903576,Mombasa,26.8,189.7
2011-02-24 06:25:42.548509696,Nakuru,24.0,63.4
2011-02-25 06:58:15.579115824,Eldoret,27.0,120.6
2011-02-26 07:30:48.609721944,Kisii,24.2,0.2
2011-02-27 08:03:21.640328064,Nakuru,32.8,64.3
2011-02-28 08:35:54.670934184,Nairobi,33.7,196.9
2011-03-01 09:08:27.701540304,Eldoret,17.7,153.9
2011-03-02 09:41:00.732146424,Muranga,20.4,60.6
2011-03-03 10:13:33.762752552,Meru,21.8,64.8
2011-03-04 10:46:06.793358672,Kisii,31.8,74.9
2011-03-05 11:18:39.823964792,Eldoret,34.4,27.9
2011-03-06 11:51:12.854570912,Mombasa,26.9,43.2
2011-03-07 12:23:45.885177032,Nakuru,18.9,198.6
2011-03-08 12:56:18.915783152,Muranga,21.6,100.5
2011-03-09 13:28:51.946389272,Eldoret,26.6,63.1
2011-03-10 14:01:24.976995400,Eldoret,28.5,24.7
2011-03-11 14:33:58.007601520,Eldoret,16.8,94.9
2011-03-12 15:06:31.038207640,Eldoret,19.7,168.4
2011-03-13 15:39:04.068813760,Meru,33.1,150.9
2011-03-14 16:11:37.099419880,Nakuru,27.6,100.6
2011-03-15 16:44:10.130026000,Nakuru,29.5,58.6
2011-03-16 17:16:43.160632128,Nairobi,28.5,104.3
2011-03-17 17:49:16.191238248,Nakuru,32.2,172.8
2011-03-18 18:21:49.221844368,Embu,26.0,109.6
2011-03-19 18:54:22.252450488,Mombasa,22.6,1.8
2011-03-20 19:26:55.283056608,Meru,17.4,37.8
2011-03-21 19:59:28.313662728,Nakuru,22.5,192.6
2011-03-22 20:32:01.344268848,Nakuru,22.4,12.9
2011-03-23 21:04:34.374874976,Embu,29.5,9.2
2011-03-24 21:37:07.405481096,Embu,31.6,41.1
2011-03-25 22:09:40.436087216,Embu,26.8,178.9
2011-03-26 22:42:13.466693336,Meru,19.1,55.2
2011-03-27 23:14:46.497299456,Muranga,31.3,170.9
2011-03-28 23:47:19.527905576,Muranga,29.6,69.3
2011-03-30 00:19:52.558511696,Kisii,29.4,115.9
2011-03-31 00:52:25.589117824,Kisii,15.6,98.6
2011-04-01 01:24:58.619723944,Mombasa,16.9,140.6
2011-04-02 01:57:31.650330064,Eldoret,30.5,91.7
2011-04-03 02:30:04.680936184,Mombasa,18.7,105.9
2011-04-04 03:02:37.711542304,Nakuru,16.2,101.1
2011-04-05 03:35:10.742148424,Muranga,30.6,199.8
2011-04-06 04:07:43.772754552,Nairobi,24.1,192.0
2011-04-07 04:40:16.803360672,Embu,16.0,47.8
2011-04-08 05:12:49.833966792,Mombasa,29.8,50.1
2011-04-09 05:45:22.864572912,Muranga,25.7,142.0
2011-04-10 06:17:55.895179032,Nakuru,17.6,58.1
2011-04-11 06:50:28.925785152,Embu,28.4,182.6
2011-04-12 07:23:01.956391272,Embu,20.9,132.0
2011-04-13 07:55:34.986997400,Meru,33.7,5.2
2011-04-14 08:28:08.017603520,Eldoret,20.9,88.1
2011-04-15 09:00:41.048209640,Nairobi,22.2,90.1
